Nr.,Bezeichnung,Hinterlegung
284,"""DIE GRÜNEN, Landesverband Burgenland""",18.08.1992
285,"""DIE GRÜNEN, Landesverband Kärnten""",18.08.1992
286,"""DIE GRÜNEN, Landesverband Oberösterreich""",18.08.1992
287,"""DIE GRÜNEN, Landesverband Salzburg""",18.08.1992
288,"""DIE GRÜNEN, Landesverband Steiermark""",18.08.1992
289,"""DIE GRÜNEN, Landesverband Tirol""",18.08.1992
290,"""DIE GRÜNEN, Landesverband Vorarlberg""",18.08.1992
291,"""Die Hernalser Initiative""",24.07.2006
292,"""Die Jungen Liberalen Österreich"", kurz ""JuLis""",08.02.1993
293,"""Die Liberale Alternative""",26.03.1987
294,"""Die Liberale Initiative""",25.03.1987
295,"""DIE LIBERALEN ÖSTERREICHS""",18.07.1990
296,"""DIE LIBERALEN"" (L)",18.07.1990
297,"""DIE LINKE""",03.12.2012
298,"""Die Mitte""",23.03.2006
299,"""Die Neue Partei""",04.10.2012
300,"""Die Opposition - Bewegung überparteilicher Bürgerinitiativen",24.06.1994
301,"""Die österreichische Autofahrerpartei""",09.01.1989
302,"""DIE ÖSTERREICHISCHEN GRÜNEN - DIE NEUE GRÜNE ALTERNATIVE""",04.03.1982
303,"""Die Österreichischen Liberalen - Plattform liberaler Kräfte in Österreich"", Kurzbezeichnung ""Liberale""",30.05.1988
304,"""Die Politische Palette Österreichs""",08.10.1999
305,"""Die Rebellen vom Liang Shan Po"" (""D.R.V.L.S.P."")",04.03.1983
306,"""DIE REPUBLIKANER ÖSTERREICHS"" (REP)",12.10.1989
307,"""DIE REPUBLIKANER"" (REP)",26.04.1989
308,"""Die Sozialliberalen""",06.03.2002
309,"""Die Stadtpartei Wien 2001""",16.12.1999
310,"""Die Templer - Patriotische Christen Österreichs"", Kurzbezeichnung ""TCÖ""",14.12.2011
311,"""DIE UNABHÄNGIGEN""",21.06.1999
312,"""Die weiße Friedenspartei Österreich"", Kurzbezeichnung ""wFPÖ""",01.04.2008
313,"""Die Weiße Partei Österreich"" (WPÖ)",25.09.2006
314,"""Die Weiße Partei Österreichs, Demokratische Wahlmonarchie (WPÖ/DWM)""",15.06.1989
315,"""Die weiße Rose""",13.05.1988
316,"""DIE WEISSEN ÖSTERREICHS"" (unabhängige Bürgerbewegung)",13.06.2008
317,"""Die Weißen"" (Die Weissen) Bewegung freier, initiativer Bürger zur Stärkung der kleinen Einheiten ""Small is beautiful""",06.07.1994
318,"""Die Weißen"" Bewegung überparteilicher Bürgerinitiativen",21.06.1994
319,"""Die Weißen"" Bewegung überparteilicher Bürgerinitiativen",28.06.1994
320,"""DIE WEISSEN"", Kurzbezeichnung ""WEISS""",08.06.2010
321,"""Die Welser Freiheitlichen"" (FPW)",05.10.2005
322,"""DIE WIRTSCHAFTSPARTEI""",03.02.1992
323,"""Direkt-Demokratische Plattform Österreichs"", kurz ""DDP""",18.11.2003
324,"""DONAU - STADT - PARTEI"" (Abkürzung ""DSP"")",30.09.1997
325,"""DONAUSTADT-PARTEI""",08.07.1997
326,"""dynamik 5 - europäisch, solidarisch, ökologisch, spirituell, politisch""",01.06.2001
327,"""Ebreichsdorfer Wahlgemeinschaft (EWG)""",08.10.1990
328,"""ECHT Josefstadt - Liste Heribert Rahdjian"", Kurzbezeichnung ""ECHT""",21.03.2013
329,"""Ein Herz für Inländer"" (Herz)",13.06.1988
330,"""ENOTNA LISTA - Einheitsliste (EL)""",25.07.1991
331,"""Ergokratische Partei Österreichs"", abgekürzt ""EPÖ""",03.03.1978
332,"""'Esobioterik'-Bewegung Europas (EBT)""",09.01.2003
333,"""Ethik-Partei-Europa""; Kurzform: ""EtP-EU"" In Österreich: ""Ethik-Partei-Europa/AUT""; Kurzform: EtP-EU/AUT""",17.08.2005
334,"""EU-Austrittspartei""",07.10.2011
335,"""EUGP - Europäische Generationen Partei""",22.02.2008
336,"""Euredo""",06.12.2011
337,"""EUROMED""",21.02.1997
338,"""Europäisch Asiatisch Arabische Union"" (EAAU)",10.11.2006
339,"""EUROPÄISCHE BÜRGERNOTWEHR ZUR WAHRUNG DER WÄHRUNGSPOLITISCHEN EINHEIT (EBN)""",10.09.2012
340,"""EUROPÄISCHE FREIHEITS-BEWEGUNG (EFB)""",28.06.1984
